sku,name,tax_class_name,price,SKU
6017,Plecionka Mikado Nihonto FINE BRAID 4X 150m czarna – 0.08,23,24.31,Z19B-008
6018,Plecionka Mikado Nihonto FINE BRAID 4X 150m czarna – 0.10,23,24.31,Z19B-010
6019,Plecionka Mikado Nihonto FINE BRAID 4X 150m czarna – 0.12,23,24.31,Z19B-012
6023,Plecionka Mikado Nihonto FINE BRAID 4X 150m fluo żółta – 0.08,23,24.31,Z19F-008
6024,Plecionka Mikado Nihonto FINE BRAID 4X 150m fluo żółta – 0.10,23,24.31,Z19F-010
6025,Plecionka Mikado Nihonto FINE BRAID 4X 150m fluo żółta – 0.12,23,24.31,Z19F-012
6031,Plecionka Mikado Nihonto FINE BRAID 4X 150m zielona – 0.08,23,24.31,Z19G-008
6032,Plecionka Mikado Nihonto FINE BRAID 4X 150m zielona – 0.10,23,24.31,Z19G-010
6033,Plecionka Mikado Nihonto FINE BRAID 4X 150m zielona – 0.12,23,24.31,Z19G-012
6038,Plecionka Mikado Nihonto FINE BRAID 4X 150m fluo pomarańczowa – 0.08,23,24.31,Z19O-008
6039,Plecionka Mikado Nihonto FINE BRAID 4X 150m fluo pomarańczowa – 0.10,23,24.31,Z19O-010
6040,Plecionka Mikado Nihonto FINE BRAID 4X 150m fluo pomarańczowa – 0.12,23,24.31,Z19O-012
6044,Plecionka Mikado Nihonto FINE BRAID 4X 15m czarna – 0.08,23,5.04,Z21B-008
6045,Plecionka Mikado Nihonto FINE BRAID 4X 15m czarna – 0.10,23,5.04,Z21B-010
6046,Plecionka Mikado Nihonto FINE BRAID 4X 15m czarna – 0.12,23,5.04,Z21B-012
6047,Plecionka Mikado Nihonto FINE BRAID 4X 15m czarna – 0.06,23,5.04,Z21B-006
6048,Plecionka Mikado Nihonto FINE BRAID 4X 15m czarna – 0.14,23,5.04,Z21B-014
6049,Plecionka Mikado Nihonto FINE BRAID 4X 15m czarna – 0.16,23,5.04,Z21B-016
6076,Haczyk MILO R305 BLK 20szt – 14,23,16.67,MIL-25
6077,Haczyk MILO R305 BLK 20szt – 16,23,16.67,MIL-24
6078,Haczyk MILO R305 BLK 20szt – 18,23,16.67,MIL-23
6079,Haczyk MILO R305 BLK 20szt – 20,23,16.67,MIL-22
6088,Haczyk MILO T116 BUR 20szt – 12,23,16.67,MIL-196
6089,Haczyk MILO T116 BUR 20szt – 14,23,16.67,MIL-195
6090,Haczyk MILO T116 BUR 20szt – 16,23,16.67,MIL-194
6091,Haczyk MILO T116 BUR 20szt – 18,23,16.67,MIL-193
6092,Haczyk MILO T116 BUR 20szt – 20,23,16.67,MIL-192
6093,Haczyk MILO T116 BUR 20szt – 22,23,16.67,MIL-191
